id,nombre,tipo
1,Noise-Canceling Earbuds,other
2,Smart LED Desk Lamp,private
3,Smart Water Bottle with Hydration Reminder,state
4,Roasted Red Pepper Sauce,other
5,Salsa,private
6,Cinnamon Sugar Popcorn,state
7,Air Fryer Oven,state
8,Herb Drying Rack,other
9,Organic Fruit Salad,private
10,Sweet Chili Dipping Sauce,state
11,Chilli Lime Corn on the Cob,other
12,Warm Knit Beanie,private
13,Pineapple Rings,state
14,Italian Sausage and Peppers,other
15,Safety Goggles,private
16,Balsamic Glazed Brussels Sprouts,private
17,Ultraviolet Phone Sanitizer,state
18,Thai Coconut Curry Sauce,other
19,A-Line Skirt,other
20,Crispy Rice Treats,private
21,Smart Air Purifier,state
22,Rice Pudding,private
23,Garden Vegetable Soup,state
24,Vegetable Samosas,other
25,Travel Jewelry Organizer,state
26,Underwater Camera,other
27,Mediterranean Chickpea Bowl,private
28,High-Top Leather Boots,state
29,Backpack,other
30,Honey Roasted Peanuts,private
31,Sliced Cheese,other
32,Plant Pot Drip Trays,private
33,Peach Mango Smoothie,state
34,Kitchen Knife Sharpening System,other
35,Chili Con Carne Mix,private
36,Desk Lamp with USB Port,state
37,Adjustable Skipping Rope,state
38,LED Christmas Lights,other
39,Chipotle Black Bean Burger,private
40,Garlic Parmesan Wings,state
41,Smart WiFi Plug,other
42,Ramen Noodle Soup Cups,private
43,Electric Heat Press Machine,other
44,Camping Chair,private
45,Personalized Cutting Board,state
46,Wireless Printer,state
47,Blue Corn Tortilla Chips,other
48,Compressible Packing Cubes,private
49,Car Diagnostic Scanner,state
50,Dog Car Seat Cover,other
51,Deluxe First Aid Kit,private
52,Savory Oatmeal,state
53,Spicy Italian Sausage,other
54,Hot Salsa,private
55,Arcade Game Machine,state
56,Banana Chips,other
57,Whole Grain Hamburger Buns,private
58,Sour Cream,state
59,Teriyaki Beef Strips,other
60,Applewood Smoked Bacon,private
61,Travel Jewelry Case,other
62,DIY Candle Making Kit,private
63,Chicken Broth,state
64,Rolling Cooler,other
65,Organic Coconut Flakes,private
66,Matcha Green Tea Powder,state
67,Fitness Jump Box,private
68,Portable Refrigerator Freezer,state
69,Pecan Nuts,other
70,Sweetened Condensed Milk,other
71,Natural Soy Candles,private
72,Sun-Dried Tomatoes,state
73,Trendy Bomber Jacket,state
74,Kids' Art Supplies Kit,other
75,Granola Clusters,private
76,Customizable Wall Calendar,other
77,Vegetable Chips,private
78,Peach Green Tea,state
79,Stainless Steel BBQ Grill Set,other
80,Dog Collar,private
81,Garlic Butter Shrimp,state
82,BBQ Sauce,private
83,Dark Chocolate Tart,state
84,Portable Dog Water Bottle,other
85,Chocolate Chip Cliff Bars,state
86,Eco-Friendly Cleaning Cloths,other
87,Apple Cinnamon Instant Oatmeal,private
88,Tea Infuser,other
89,Throw Pillow Covers,private
90,Digital Photo Frame,state
91,Shredded Cheese,other
92,Savory Pumpkin Soup,private
93,Frozen Acai Purée,state
94,Quinoa & Black Bean Salad,private
95,Fruit Medley Juice,state
96,Lemonade Mix,other
97,Organic Coconut Flour,state
98,Portable Laptop Table,other
99,Cushion Covers,private
100,Butternut Squash Ravioli,other
